position select_coef p1_freq p2_freq fixed_since migr_rate mut_rate recomb_rate fitness_width output_gen rep
20002 -0.0354504 0 6 719 1e-05 1e-05 1e-05 5 750 0
132502 -0.0293453 0 2 679 1e-05 1e-05 1e-05 5 750 0
132502 0.0843544 379 0 481 1e-05 1e-05 1e-05 5 750 0
140001 -0.0711231 5 0 726 1e-05 1e-05 1e-05 5 750 0
170002 0.0137722 0 74 395 1e-05 1e-05 1e-05 5 750 0
192501 -0.084172 0 163 592 1e-05 1e-05 1e-05 5 750 0
192501 -0.054937 2 0 747 1e-05 1e-05 1e-05 5 750 0
192501 0.0213511 0 56 259 1e-05 1e-05 1e-05 5 750 0
207502 0.0766119 0 3 744 1e-05 1e-05 1e-05 5 750 0
387501 0.0453993 16 0 726 1e-05 1e-05 1e-05 5 750 0
387502 -0.0735345 0 1477 193 1e-05 1e-05 1e-05 5 750 0
552502 -0.0871081 0 1 742 1e-05 1e-05 1e-05 5 750 0
567502 -0.0748497 20 0 631 1e-05 1e-05 1e-05 5 750 0
620001 -0.0842702 0 19 630 1e-05 1e-05 1e-05 5 750 0
620001 -0.124094 0 18 714 1e-05 1e-05 1e-05 5 750 0
620001 0.0607031 2000 0 123 1e-05 1e-05 1e-05 5 750 0
642502 -0.063574 1 0 750 1e-05 1e-05 1e-05 5 750 0
650002 -0.0941015 0 1120 386 1e-05 1e-05 1e-05 5 750 0
747501 0.00505074 0 15 697 1e-05 1e-05 1e-05 5 750 0
747502 0.0274898 1 0 750 1e-05 1e-05 1e-05 5 750 0
747502 -0.0346674 0 13 445 1e-05 1e-05 1e-05 5 750 0
800002 0.0272675 15 0 728 1e-05 1e-05 1e-05 5 750 0
1310001 -0.013391 4 0 748 1e-05 1e-05 1e-05 5 750 0
1310002 0.0580344 212 0 683 1e-05 1e-05 1e-05 5 750 0
1362501 0.00309682 0 4 745 1e-05 1e-05 1e-05 5 750 0
1362501 0.0816321 0 12 738 1e-05 1e-05 1e-05 5 750 0
1362501 -0.0326021 0 445 198 1e-05 1e-05 1e-05 5 750 0
1362502 -0.0192011 16 0 722 1e-05 1e-05 1e-05 5 750 0
1467502 -0.0392612 0 3 744 1e-05 1e-05 1e-05 5 750 0
1632502 -0.00217386 3 0 748 1e-05 1e-05 1e-05 5 750 0
1632502 -0.0598192 0 538 416 1e-05 1e-05 1e-05 5 750 0
1677501 0.0509782 2 0 749 1e-05 1e-05 1e-05 5 750 0
1677502 -0.0387297 0 182 178 1e-05 1e-05 1e-05 5 750 0
1917502 -0.00287155 0 1 738 1e-05 1e-05 1e-05 5 750 0
1970001 0.0291781 1 0 750 1e-05 1e-05 1e-05 5 750 0
2015001 -0.010105 0 1 750 1e-05 1e-05 1e-05 5 750 0
2015002 0.0629082 0 1 749 1e-05 1e-05 1e-05 5 750 0
2037502 -0.0234668 0 100 249 1e-05 1e-05 1e-05 5 750 0
2037502 -0.0287796 6 0 736 1e-05 1e-05 1e-05 5 750 0
2112502 -0.052899 2 0 748 1e-05 1e-05 1e-05 5 750 0
2112502 0.021987 0 9 655 1e-05 1e-05 1e-05 5 750 0
2150002 -0.0200089 2 0 745 1e-05 1e-05 1e-05 5 750 0
2210002 -0.0705157 0 43 727 1e-05 1e-05 1e-05 5 750 0
2210002 -0.0569967 0 24 670 1e-05 1e-05 1e-05 5 750 0
2262501 0.0610538 2 0 705 1e-05 1e-05 1e-05 5 750 0
2262502 0.0284623 1 0 750 1e-05 1e-05 1e-05 5 750 0
2307502 0.0317431 89 0 543 1e-05 1e-05 1e-05 5 750 0
2330002 0.0863527 800 0 437 1e-05 1e-05 1e-05 5 750 0
2352501 -0.0426454 0 7 744 1e-05 1e-05 1e-05 5 750 0
2352502 0.0651213 139 0 540 1e-05 1e-05 1e-05 5 750 0
2457502 0.0688633 790 0 350 1e-05 1e-05 1e-05 5 750 0
2495002 -0.0100439 0 970 99 1e-05 1e-05 1e-05 5 750 0
2720002 0.0530677 110 0 698 1e-05 1e-05 1e-05 5 750 0
3005001 -0.0268285 0 184 252 1e-05 1e-05 1e-05 5 750 0
3005001 0.030196 7 0 745 1e-05 1e-05 1e-05 5 750 0
3087502 0.0519463 0 87 500 1e-05 1e-05 1e-05 5 750 0
3117502 -0.12919 27 0 543 1e-05 1e-05 1e-05 5 750 0
3132501 -0.0279688 0 92 664 1e-05 1e-05 1e-05 5 750 0
3207501 0.040016 1 0 748 1e-05 1e-05 1e-05 5 750 0
3207501 0.102348 1753 0 229 1e-05 1e-05 1e-05 5 750 0
3470002 -0.0234688 0 47 536 1e-05 1e-05 1e-05 5 750 0
3620001 0.000813553 0 2 737 1e-05 1e-05 1e-05 5 750 0
3620002 -0.0186433 277 0 635 1e-05 1e-05 1e-05 5 750 0
3710001 0.0563367 1442 0 351 1e-05 1e-05 1e-05 5 750 0
3747502 0.00257745 5 0 686 1e-05 1e-05 1e-05 5 750 0
3830001 -0.0182024 0 11 708 1e-05 1e-05 1e-05 5 750 0
3882502 -0.0727629 0 104 432 1e-05 1e-05 1e-05 5 750 0
3897501 -0.0216749 34 0 675 1e-05 1e-05 1e-05 5 750 0
4070001 0.0420434 677 0 195 1e-05 1e-05 1e-05 5 750 0
4092502 -0.0908532 0 1 750 1e-05 1e-05 1e-05 5 750 0
4122501 0.146837 49 0 623 1e-05 1e-05 1e-05 5 750 0
4122502 -0.0972596 0 2000 23 1e-05 1e-05 1e-05 5 750 0
4400002 -0.068683 0 25 388 1e-05 1e-05 1e-05 5 750 0
4400002 0.0100934 0 1 748 1e-05 1e-05 1e-05 5 750 0
4617501 0.0113644 1 0 731 1e-05 1e-05 1e-05 5 750 0
4617502 -0.00871524 3 0 749 1e-05 1e-05 1e-05 5 750 0
4662502 -0.0133103 14 0 217 1e-05 1e-05 1e-05 5 750 0
4662502 -0.00592933 0 1 750 1e-05 1e-05 1e-05 5 750 0
4722501 0.114009 4 0 715 1e-05 1e-05 1e-05 5 750 0
4895001 -0.0601049 0 878 191 1e-05 1e-05 1e-05 5 750 0
